full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,college
Anfernee Simons,72,#1,Portland Trail Blazers,G,06/08/99,6-3 / 1.91,181 lbs. / 82.1 kg.,$2149560,USA,2018,1,
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,06/04/99,6-3 / 1.91,205 lbs. / 93 kg.,$3058800,USA,2018,1,Texas Tech
Anthony Tolliver,72,#0,Memphis Grizzlies,F,06/01/85,6-8 / 2.03,240 lbs. / 108.9 kg.,$2854556,USA,2007,Undrafted,Creighton
DJ Wilson,72,#5,Milwaukee Bucks,F,02/19/96,6-10 / 2.08,234 lbs. / 106.1 kg.,$2961120,USA,2017,1,Michigan
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,09/17/92,6-8 / 2.03,215 lbs. / 97.5 kg.,$2391985,USA,2015,Undrafted,Green Bay
Romeo Langford,72,#45,Boston Celtics,G,10/25/99,6-4 / 1.93,216 lbs. / 98 kg.,$3458400,USA,2019,1,Indiana
Grant Williams,72,#12,Boston Celtics,F,11/30/98,6-6 / 1.98,236 lbs. / 107 kg.,$2379840,USA,2019,1,Tennessee
Nicolas Claxton,72,#0,Brooklyn Nets,C,04/17/90,6-11 / 2.11,215 lbs. / 97.5 kg.,$898310,USA,2019,2,Georgia
PJ Washington,72,#25,Charlotte Hornets,F,08/23/98,6-7 / 2.01,225 lbs. / 102.1 kg.,$3831840,USA,2019,1,Kentucky
Ryan Arcidiacono,72,#51,Chicago Bulls,G,03/26/94,6-3 / 1.91,195 lbs. / 88.5 kg.,$3000000,Italy,2016,Undrafted,Villanova
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,05/04/00,6-4 / 1.93,218 lbs. / 98.9 kg.,$1290960,USA,2019,1,USC
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,08/23/90,6-6 / 1.98,215 lbs. / 97.5 kg.,$2833704,Australia,2013,Undrafted,Valparaiso
Goga Bitadze,72,#88,Indiana Pacers,C,07/20/99,6-11 / 2.11,250 lbs. / 113.4 kg.,$2816760,Georgia,2019,1,
De'Anthony Melton,72,#0,Memphis Grizzlies,G,05/28/98,6-2 / 1.88,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,USC
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/02/94,6-6 / 1.98,210 lbs. / 95.3 kg.,$1416852,USA,2018,Undrafted,TCU
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,09/02/98,6-5 / 1.96,205 lbs. / 93 kg.,$2964840,Canada,2019,1,Virginia Tech
Chuma Okeke,72,#3,,F-C,08/18/98,6-8 / 2.03,230 lbs. / 104 kg.,$2773550,USA,2019,1,Auburn
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,03/04/97,6-5 / 1.96,201 lbs. / 91.2 kg.,$2582160,USA,2019,1,Washington
Cameron Johnson,72,#23,Phoenix Suns,F,03/03/96,6-8 / 2.03,210 lbs. / 95.3 kg.,$4033440,USA,2019,1,North Carolina
Ty Jerome,72,#10,Phoenix Suns,G,07/08/97,6-5 / 1.96,195 lbs. / 88.5 kg.,$2193480,USA,2019,1,Virginia
Luka Samanic,72,#19,San Antonio Spurs,F,01/09/00,6-10 / 2.08,209 lbs. / 94.8 kg.,$2689920,Croatia,2019,1,
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/99,6-5 / 1.96,211 lbs. / 95.7 kg.,$1950600,USA,2019,1,Kentucky
Matt Thomas,72,#21,Toronto Raptors,G,08/04/94,6-4 / 1.93,197 lbs. / 89.4 kg.,$898310,USA,2017,Undrafted,Iowa State
Chris Boucher,71,#25,Toronto Raptors,F-C,01/11/93,6-9 / 2.06,200 lbs. / 90.7 kg.,$1588231,Canada,2017,Undrafted,Oregon
Jevon Carter,71,#4,Phoenix Suns,G,09/14/95,6-1 / 1.85,200 lbs. / 90.7 kg.,$1416852,USA,2018,2,West Virginia
Deyonta Davis,71,#0,,F-C,12/02/96,6-10 / 2.08,240 lbs. / 108.9 kg.,$250000,USA,2016,2,Michigan State
Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/97,6-4 / 1.93,210 lbs. / 95.3 kg.,$1925880,USA,2018,1,Cincinnati
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/98,6-6 / 1.98,184 lbs. / 83.5 kg.,$2475840,USA,2017,1,
Daniel Gafford,71,#12,Chicago Bulls,F,10/01/98,6-10 / 2.08,234 lbs. / 106.1 kg.,$898310,USA,2019,2,Arkansas
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/93,6-5 / 1.96,219 lbs. / 99.3 kg.,$1645357,USA,2015,Undrafted,VCU
Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/98,6-3 / 1.91,205 lbs. / 93 kg.,$1618520,USA,2017,2,Duke
Luke Kornet,71,#2,Chicago Bulls,C,07/15/95,7-2 / 2.18,240 lbs. / 108.9 kg.,$2250000,USA,2017,Undrafted,Vanderbilt
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/94,5-11 / 1.80,190 lbs. / 86.2 kg.,$79568,USA,2017,2,Kansas
Ben McLemore,71,#16,Houston Rockets,G,02/11/93,6-3 / 1.91,189 lbs. / 85.7 kg.,$2028594,USA,2013,1,Kansas
Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/99,6-9 / 2.06,195 lbs. / 88.5 kg.,$1911600,Bosnia and Herzegovina,2018,1,
Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,6-3 / 1.91,190 lbs. / 86.2 kg.,$1416852,France,2018,2,
Jerome Robinson,71,#1,Washington Wizards,G,02/22/97,6-4 / 1.93,190 lbs. / 86.2 kg.,$3567720,USA,2018,1,Boston College
JaKarr Sampson,71,#14,Indiana Pacers,F,03/20/93,6-7 / 2.01,223 lbs. / 101.2 kg.,$1737145,USA,2014,Undrafted,St. John's
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,6-4 / 1.93,186 lbs. / 84.4 kg.,$2000000,USA,2017,2,Xavier
Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/99,6-5 / 1.96,209 lbs. / 94.8 kg.,$1416852,USA,2018,2,Duke
Moritz Wagner,71,#21,Washington Wizards,F,04/26/97,6-11 / 2.11,240 lbs. / 108.9 kg.,$2063520,Germany,2018,1,Michigan
Admiral Schofield,71,#1,Washington Wizards,F,03/30/97,6-5 / 1.96,241 lbs. / 109.3 kg.,$1000000,USA,2019,2,Tennessee
Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/98,6-9 / 2.06,245 lbs. / 111.1 kg.,$1400000,Angola,2019,2,Maryland
Alen Smailagic,71,#6,Golden State Warriors,F,08/18/00,6-10 / 2.08,215 lbs. / 97.5 kg.,$898310,Serbia,2019,2,
Eric Paschall,71,#7,Golden State Warriors,F,11/04/96,6-6 / 1.98,255 lbs. / 115.7 kg.,$898310,USA,2019,2,Villanova
Carsen Edwards,71,#4,Boston Celtics,G,03/12/98,5-11 / 1.80,200 lbs. / 90.7 kg.,$1228026,USA,2019,2,Purdue
KZ Okpala,71,#4,Miami Heat,F,04/28/99,6-8 / 2.03,215 lbs. / 97.5 kg.,$898310,USA,2019,2,Stanford
Shake Milton,71,#18,Philadelphia 76ers,C,09/26/96,6-5 / 1.96,205 lbs. / 93 kg.,$1445697,USA,2018,2,SMU
Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/97,6-9 / 2.06,225 lbs. / 102.1 kg.,$1416852,Nigeria,2018,2,USC
Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/96,6-8 / 2.03,235 lbs. / 106.6 kg.,$1416852,USA,2018,2,Ohio State
Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/00,6-8 / 2.03,200 lbs. / 90.7 kg.,$2284800,USA,2019,1,
Tony Bradley,70,#13,Utah Jazz,F-C,01/08/98,6-10 / 2.08,248 lbs. / 112.5 kg.,$1962360,USA,2017,1,North Carolina
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/98,6-5 / 1.96,198 lbs. / 89.8 kg.,$1416852,USA,2018,2,Kentucky
Melvin Frazier,70,#35,Orlando Magic,F,08/30/96,6-5 / 1.96,201 lbs. / 91.2 kg.,$1416852,USA,2018,2,Tulane
Solomon Hill,70,#44,Miami Heat,F,03/18/91,6-6 / 1.98,226 lbs. / 102.5 kg.,$13290395,USA,2013,1,Arizona
Alize Johnson,70,#24,Indiana Pacers,F,04/26/96,6-7 / 2.01,201 lbs. / 91.2 kg.,$1416852,USA,2018,2,Missouri State
Skal Labissiere,70,#0,Atlanta Hawks,C-F,03/18/96,6-10 / 2.08,216 lbs. / 98 kg.,$2338846,Haiti,2016,1,Kentucky
Tyler Lydon,70,#0,,F-C,04/09/96,6-9 / 2.06,220 lbs. / 99.8 kg.,$50000,USA,2017,1,Syracuse
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/97,6-7 / 2.01,205 lbs. / 93 kg.,$1416852,Ukraine,2018,2,Kansas
Johnathan Motley,70,#15,Los Angeles Clippers,F,05/04/95,6-8 / 2.03,230 lbs. / 104.3 kg.,$79568,USA,2017,Undrafted,Baylor
Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/93,6-5 / 1.96,225 lbs. / 102.1 kg.,$1618520,Egypt,2016,2,Iowa State
Miles Plumlee,70,#0,,F-C,09/01/88,6-11 / 2.11,255 lbs. / 115.7 kg.,$12500000,USA,2012,1,Duke
Caleb Swanigan,70,#50,Portland Trail Blazers,C,04/18/97,6-9 / 2.06,249 lbs. / 112.9 kg.,$2033160,USA,2017,1,Purdue
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/99,6-9 / 2.06,214 lbs. / 97.1 kg.,$1416852,USA,2018,2,Kentucky
Jemerrio Jones,70,#0,,F,04/09/95,6-5 / 1.96,201 lbs. / 91.2 kg.,$195077,USA,2018,Undrafted,New Mexico State
Jordan Poole,70,#3,Golden State Warriors,G,06/19/99,6-4 / 1.93,194 lbs. / 88 kg.,$1964760,USA,2019,1,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,6-4 / 1.93,234 lbs. / 106.1 kg.,$898310,USA,2019,2,Iowa State
Yante Maten,70,#0,,F-C,08/14/96,6-8 / 2.03,240 lbs. / 108.9 kg.,$100000,USA,2018,Undrafted,Georgia
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/92,6-6 / 1.98,215 lbs. / 97.5 kg.,$1445697,Greece,2014,2,
Naz Reid,70,#11,Minnesota Timberwolves,C,08/26/99,6-9 / 2.06,249 lbs. / 112.9 kg.,$898310,USA,2019,Undrafted,LSU
